date,carbon-intensity,cfe,order_type,rank
2022-12,360.52,35.83832,carbon_desc,1
2022-03,347.359073,35.822218,carbon_desc,2
2021-11,346.728514,33.076681,carbon_desc,3
2022-10,335.784745,39.167164,carbon_desc,4
2022-02,330.489896,38.980595,carbon_desc,5
2024-05,158.240887,68.989731,carbon_asc,1
2024-04,170.670889,66.253958,carbon_asc,2
2024-06,171.978792,65.487792,carbon_asc,3
2024-03,192.853871,60.919556,carbon_asc,4
2024-07,200.595995,57.939099,carbon_asc,5
2024-05,158.240887,68.989731,cfe_desc,1
2024-04,170.670889,66.253958,cfe_desc,2
2024-06,171.978792,65.487792,cfe_desc,3
2024-03,192.853871,60.919556,cfe_desc,4
2023-05,203.494489,59.877003,cfe_desc,5
2021-11,346.728514,33.076681,cfe_asc,1
2022-03,347.359073,35.822218,cfe_asc,2
2022-12,360.52,35.83832,cfe_asc,3
2022-01,326.947876,36.603683,cfe_asc,4
2021-12,329.303508,37.868817,cfe_asc,5
