hour,country,carbon-intensity,cfe
0,IT,280.357796,47.465517
1,IT,279.445702,47.734702
2,IT,278.96013,47.795873
3,IT,281.543936,47.011533
4,IT,284.950883,45.621506
5,IT,280.379836,46.20783
6,IT,265.65345,49.351691
7,IT,248.486338,52.606626
8,IT,235.093799,54.776845
9,IT,226.012122,56.260664
10,IT,220.763217,57.130055
11,IT,219.029329,57.423648
12,IT,221.68629,56.845366
13,IT,229.271095,55.235065
14,IT,243.049158,52.378159
15,IT,260.61269,48.916509
16,IT,276.171034,46.447228
17,IT,285.181369,45.764079
18,IT,289.712204,45.028125
19,IT,293.715421,43.436886
20,IT,296.746208,42.203176
21,IT,296.306674,42.428426
22,IT,288.799815,44.718823
23,IT,282.04553,46.815469
0,SE,4.284784,99.411923
1,SE,4.407043,99.395127
2,SE,4.561875,99.377488
3,SE,4.302491,99.411588
4,SE,3.912149,99.461951
5,SE,3.858296,99.466838
6,SE,4.34989,99.411068
7,SE,4.769665,99.354969
8,SE,5.195558,99.305209
9,SE,5.489035,99.273518
10,SE,5.736708,99.240253
11,SE,5.94718,99.213936
12,SE,5.922875,99.215441
13,SE,5.366119,99.278741
14,SE,4.756783,99.348939
15,SE,4.15896,99.410281
16,SE,3.908172,99.440281
17,SE,3.589062,99.487515
18,SE,3.357105,99.509055
19,SE,3.245243,99.52191
20,SE,3.166509,99.537454
21,SE,3.150062,99.540979
22,SE,3.438946,99.506619
23,SE,3.824661,99.467488
