datetime,country_code,carbon_intensity_direct,cfe_percent
2024-01-01 00:00:00,SE,33.33,95.99
2024-01-01 01:00:00,SE,34.0,95.95
2024-01-01 02:00:00,SE,34.07,95.93
2024-01-01 03:00:00,SE,34.62,95.88
2024-01-01 04:00:00,SE,34.94,95.8
2024-01-01 05:00:00,SE,34.58,95.82
2024-01-01 06:00:00,SE,34.15,95.88
2024-01-01 07:00:00,SE,33.43,95.94
2024-01-01 08:00:00,SE,33.04,95.98
2024-01-01 09:00:00,SE,29.55,96.5
2024-01-01 10:00:00,SE,26.6,96.9
2024-01-01 11:00:00,SE,21.2,97.5
2024-01-01 12:00:00,SE,23.79,97.33
2024-01-01 13:00:00,SE,11.98,98.58
2024-01-01 14:00:00,SE,7.33,99.08
2024-01-01 15:00:00,SE,8.54,98.92
2024-01-01 16:00:00,SE,6.8,99.2
2024-01-01 17:00:00,SE,9.08,98.92
2024-01-01 18:00:00,SE,8.83,98.86
2024-01-01 19:00:00,SE,9.24,98.72
2024-01-01 20:00:00,SE,24.57,96.99
2024-01-01 21:00:00,SE,24.23,97.08
2024-01-01 22:00:00,SE,33.64,95.83
2024-01-01 23:00:00,SE,34.99,95.65
2024-01-02 00:00:00,SE,35.6,95.63
2024-01-02 01:00:00,SE,36.44,95.51
2024-01-02 02:00:00,SE,36.89,95.45
2024-01-02 03:00:00,SE,32.88,95.92
2024-01-02 04:00:00,SE,16.89,97.62
2024-01-02 05:00:00,SE,11.84,98.29
2024-01-02 06:00:00,SE,8.39,98.78
2024-01-02 07:00:00,SE,7.02,99.01
2024-01-02 08:00:00,SE,6.23,99.14
2024-01-02 09:00:00,SE,4.95,99.28
2024-01-02 10:00:00,SE,5.87,99.12
2024-01-02 11:00:00,SE,3.74,99.46
2024-01-02 12:00:00,SE,3.45,99.51
2024-01-02 13:00:00,SE,3.43,99.52
2024-01-02 14:00:00,SE,2.68,99.64
2024-01-02 15:00:00,SE,2.85,99.61
2024-01-02 16:00:00,SE,2.2,99.72
2024-01-02 17:00:00,SE,4.63,99.3
2024-01-02 18:00:00,SE,7.08,98.97
2024-01-02 19:00:00,SE,7.94,98.85
2024-01-02 20:00:00,SE,10.24,98.52
2024-01-02 21:00:00,SE,13.53,98.17
2024-01-02 22:00:00,SE,19.78,97.53
2024-01-02 23:00:00,SE,12.7,98.31
2024-01-03 00:00:00,SE,16.77,97.88
2024-01-03 01:00:00,SE,22.75,97.28
2024-01-03 02:00:00,SE,25.05,96.97
2024-01-03 03:00:00,SE,21.0,97.39
2024-01-03 04:00:00,SE,11.35,98.41
2024-01-03 05:00:00,SE,16.25,97.95
2024-01-03 06:00:00,SE,14.82,98.22
2024-01-03 07:00:00,SE,13.93,98.26
2024-01-03 08:00:00,SE,7.27,98.99
2024-01-03 09:00:00,SE,7.41,98.97
2024-01-03 10:00:00,SE,11.01,98.53
2024-01-03 11:00:00,SE,8.61,98.77
2024-01-03 12:00:00,SE,9.53,98.63
2024-01-03 13:00:00,SE,8.89,98.72
2024-01-03 14:00:00,SE,8.82,98.73
2024-01-03 15:00:00,SE,8.45,98.77
2024-01-03 16:00:00,SE,4.92,99.27
2024-01-03 17:00:00,SE,2.08,99.71
2024-01-03 18:00:00,SE,3.18,99.53
2024-01-03 19:00:00,SE,5.0,99.25
2024-01-03 20:00:00,SE,4.27,99.39
2024-01-03 21:00:00,SE,3.78,99.47
2024-01-03 22:00:00,SE,13.53,98.4
2024-01-03 23:00:00,SE,22.13,97.44
2024-01-04 00:00:00,SE,27.39,96.74
2024-01-04 01:00:00,SE,27.91,96.66
2024-01-04 02:00:00,SE,28.19,96.64
2024-01-04 03:00:00,SE,28.89,96.53
2024-01-04 04:00:00,SE,28.6,96.55
2024-01-04 05:00:00,SE,13.03,98.26
2024-01-04 06:00:00,SE,5.63,99.13
2024-01-04 07:00:00,SE,6.03,99.05
2024-01-04 08:00:00,SE,9.72,98.47
2024-01-04 09:00:00,SE,8.26,98.64
2024-01-04 10:00:00,SE,10.15,98.46
2024-01-04 11:00:00,SE,12.49,98.21
2024-01-04 12:00:00,SE,20.25,97.42
2024-01-04 13:00:00,SE,16.6,97.99
2024-01-04 14:00:00,SE,23.8,97.03
2024-01-04 15:00:00,SE,27.49,96.5
2024-01-04 16:00:00,SE,27.52,96.71
2024-01-04 17:00:00,SE,26.66,96.76
2024-01-04 18:00:00,SE,23.29,97.17
2024-01-04 19:00:00,SE,19.7,97.7
2024-01-04 20:00:00,SE,19.26,97.84
2024-01-04 21:00:00,SE,16.17,98.3
2024-01-04 22:00:00,SE,15.71,98.32
2024-01-04 23:00:00,SE,24.75,97.27
2024-01-05 00:00:00,SE,33.71,95.9
2024-01-05 01:00:00,SE,35.17,95.66
2024-01-05 02:00:00,SE,36.47,95.5
2024-01-05 03:00:00,SE,37.73,95.33
2024-01-05 04:00:00,SE,29.64,96.18
2024-01-05 05:00:00,SE,18.04,97.33
2024-01-05 06:00:00,SE,27.79,96.56
2024-01-05 07:00:00,SE,32.93,96.1
2024-01-05 08:00:00,SE,32.41,96.18
2024-01-05 09:00:00,SE,30.58,96.38
2024-01-05 10:00:00,SE,31.33,96.18
2024-01-05 11:00:00,SE,30.84,96.19
2024-01-05 12:00:00,SE,31.02,96.17
2024-01-05 13:00:00,SE,32.39,95.97
2024-01-05 14:00:00,SE,35.87,95.55
2024-01-05 15:00:00,SE,36.8,95.51
2024-01-05 16:00:00,SE,37.18,95.57
2024-01-05 17:00:00,SE,37.17,95.51
2024-01-05 18:00:00,SE,26.11,96.53
2024-01-05 19:00:00,SE,22.36,96.84
2024-01-05 20:00:00,SE,21.26,97.04
2024-01-05 21:00:00,SE,23.16,96.86
2024-01-05 22:00:00,SE,26.79,96.56
2024-01-05 23:00:00,SE,36.61,95.45
2024-01-06 00:00:00,SE,40.58,94.94
2024-01-06 01:00:00,SE,39.96,94.98
2024-01-06 02:00:00,SE,42.55,94.66
2024-01-06 03:00:00,SE,43.36,94.52
2024-01-06 04:00:00,SE,44.91,94.31
2024-01-06 05:00:00,SE,45.1,94.3
2024-01-06 06:00:00,SE,45.61,94.27
2024-01-06 07:00:00,SE,43.23,94.58
2024-01-06 08:00:00,SE,42.33,94.59
2024-01-06 09:00:00,SE,40.47,94.92
2024-01-06 10:00:00,SE,38.41,95.18
2024-01-06 11:00:00,SE,39.11,95.02
2024-01-06 12:00:00,SE,40.94,94.78
2024-01-06 13:00:00,SE,41.35,94.8
2024-01-06 14:00:00,SE,41.34,94.71
2024-01-06 15:00:00,SE,40.82,94.81
2024-01-06 16:00:00,SE,41.33,94.94
2024-01-06 17:00:00,SE,41.76,94.92
2024-01-06 18:00:00,SE,38.45,95.35
2024-01-06 19:00:00,SE,37.84,95.36
2024-01-06 20:00:00,SE,41.26,94.83
2024-01-06 21:00:00,SE,43.2,94.52
2024-01-06 22:00:00,SE,43.59,94.5
2024-01-06 23:00:00,SE,32.93,96.02
2024-01-07 00:00:00,SE,40.28,95.04
2024-01-07 01:00:00,SE,42.69,94.7
2024-01-07 02:00:00,SE,44.09,94.52
2024-01-07 03:00:00,SE,45.26,94.34
2024-01-07 04:00:00,SE,43.11,94.66
2024-01-07 05:00:00,SE,43.9,94.51
2024-01-07 06:00:00,SE,44.18,94.44
2024-01-07 07:00:00,SE,42.65,94.69
2024-01-07 08:00:00,SE,40.62,95.0
2024-01-07 09:00:00,SE,37.75,95.42
2024-01-07 10:00:00,SE,36.39,95.63
2024-01-07 11:00:00,SE,36.52,95.6
2024-01-07 12:00:00,SE,34.28,95.9
2024-01-07 13:00:00,SE,35.3,95.76
2024-01-07 14:00:00,SE,34.19,95.9
2024-01-07 15:00:00,SE,33.57,95.74
2024-01-07 16:00:00,SE,31.65,96.16
2024-01-07 17:00:00,SE,26.51,96.83
2024-01-07 18:00:00,SE,15.89,97.76
2024-01-07 19:00:00,SE,24.94,96.89
2024-01-07 20:00:00,SE,24.81,96.88
2024-01-07 21:00:00,SE,14.4,98.26
2024-01-07 22:00:00,SE,8.45,98.93
2024-01-07 23:00:00,SE,18.43,97.93
2024-01-08 00:00:00,SE,22.77,97.35
2024-01-08 01:00:00,SE,21.9,97.39
2024-01-08 02:00:00,SE,22.87,97.27
2024-01-08 03:00:00,SE,24.13,97.07
2024-01-08 04:00:00,SE,28.07,96.59
2024-01-08 05:00:00,SE,24.35,96.89
2024-01-08 06:00:00,SE,31.63,95.97
2024-01-08 07:00:00,SE,33.2,95.73
2024-01-08 08:00:00,SE,39.57,94.96
2024-01-08 09:00:00,SE,38.81,95.12
2024-01-08 10:00:00,SE,33.98,95.57
2024-01-08 11:00:00,SE,36.4,95.43
2024-01-08 12:00:00,SE,36.14,95.46
2024-01-08 13:00:00,SE,33.22,95.86
2024-01-08 14:00:00,SE,33.63,95.82
2024-01-08 15:00:00,SE,22.68,96.76
2024-01-08 16:00:00,SE,17.43,97.46
2024-01-08 17:00:00,SE,9.42,98.63
2024-01-08 18:00:00,SE,4.98,99.35
2024-01-08 19:00:00,SE,2.96,99.67
2024-01-08 20:00:00,SE,3.92,99.52
2024-01-08 21:00:00,SE,2.59,99.72
2024-01-08 22:00:00,SE,2.31,99.76
2024-01-08 23:00:00,SE,2.16,99.79
2024-01-09 00:00:00,SE,2.09,99.79
2024-01-09 01:00:00,SE,2.03,99.8
2024-01-09 02:00:00,SE,2.01,99.8
2024-01-09 03:00:00,SE,2.02,99.8
2024-01-09 04:00:00,SE,2.07,99.8
2024-01-09 05:00:00,SE,2.38,99.77
2024-01-09 06:00:00,SE,4.07,99.53
2024-01-09 07:00:00,SE,3.87,99.56
2024-01-09 08:00:00,SE,3.85,99.57
2024-01-09 09:00:00,SE,2.96,99.69
2024-01-09 10:00:00,SE,3.5,99.62
2024-01-09 11:00:00,SE,4.68,99.45
2024-01-09 12:00:00,SE,5.52,99.33
2024-01-09 13:00:00,SE,5.28,99.36
2024-01-09 14:00:00,SE,6.5,99.18
2024-01-09 15:00:00,SE,5.33,99.36
2024-01-09 16:00:00,SE,4.28,99.52
2024-01-09 17:00:00,SE,4.49,99.49
2024-01-09 18:00:00,SE,2.28,99.83
2024-01-09 19:00:00,SE,1.93,99.88
2024-01-09 20:00:00,SE,1.85,99.89
2024-01-09 21:00:00,SE,1.71,99.9
2024-01-09 22:00:00,SE,1.85,99.84
2024-01-09 23:00:00,SE,1.6,99.89
2024-01-10 00:00:00,SE,1.63,99.87
2024-01-10 01:00:00,SE,1.68,99.86
2024-01-10 02:00:00,SE,1.54,99.9
2024-01-10 03:00:00,SE,1.54,99.91
2024-01-10 04:00:00,SE,1.84,99.87
2024-01-10 05:00:00,SE,2.47,99.78
2024-01-10 06:00:00,SE,4.8,99.48
2024-01-10 07:00:00,SE,2.85,99.74
2024-01-10 08:00:00,SE,2.74,99.76
2024-01-10 09:00:00,SE,9.19,98.94
2024-01-10 10:00:00,SE,3.7,99.64
2024-01-10 11:00:00,SE,2.67,99.77
2024-01-10 12:00:00,SE,7.79,99.09
2024-01-10 13:00:00,SE,3.95,99.59
2024-01-10 14:00:00,SE,2.51,99.78
2024-01-10 15:00:00,SE,2.5,99.78
2024-01-10 16:00:00,SE,2.61,99.76
2024-01-10 17:00:00,SE,2.57,99.76
2024-01-10 18:00:00,SE,2.42,99.77
2024-01-10 19:00:00,SE,2.11,99.78
2024-01-10 20:00:00,SE,1.97,99.8
2024-01-10 21:00:00,SE,1.97,99.8
2024-01-10 22:00:00,SE,2.46,99.72
2024-01-10 23:00:00,SE,2.59,99.69
2024-01-11 00:00:00,SE,2.88,99.64
2024-01-11 01:00:00,SE,3.46,99.55
2024-01-11 02:00:00,SE,3.46,99.55
2024-01-11 03:00:00,SE,2.73,99.67
2024-01-11 04:00:00,SE,1.81,99.82
2024-01-11 05:00:00,SE,2.12,99.78
2024-01-11 06:00:00,SE,2.49,99.75
2024-01-11 07:00:00,SE,2.62,99.73
2024-01-11 08:00:00,SE,2.72,99.72
2024-01-11 09:00:00,SE,3.3,99.57
2024-01-11 10:00:00,SE,2.14,99.79
2024-01-11 11:00:00,SE,2.35,99.76
2024-01-11 12:00:00,SE,2.41,99.75
2024-01-11 13:00:00,SE,2.46,99.74
